is_anomaly,anomaly_type,confidence_score,node_id,gps_coordinates,reading
True,contamination,1.0,NODE_01,"(41.857097, -87.623471)","{'timestamp': Timestamp('2026-01-02 10:00:00'), 'node_id': 'NODE_01', 'gps_lat': 41.857097, 'gps_lon': -87.623471, 'pH': 7.035455515887571, 'turbidity_NTU': 4.142386058756017, 'dissolved_oxygen_mg_L': 5.944959971557344, 'flow_rate_Lps': 22.280636170275177, 'anomaly_type': 'contamination'}"
False,none,0.997,NODE_02,"(41.840095, -87.588121)","{'timestamp': Timestamp('2026-01-03 14:45:00'), 'node_id': 'NODE_02', 'gps_lat': 41.840095, 'gps_lon': -87.588121, 'pH': 5.583832998476663, 'turbidity_NTU': 3.870156920624293, 'dissolved_oxygen_mg_L': 8.510189058431358, 'flow_rate_Lps': 28.333434766047702, 'anomaly_type': 'none'}"
True,contamination,1.0,NODE_06,"(41.855255, -87.639555)","{'timestamp': Timestamp('2026-01-02 02:15:00'), 'node_id': 'NODE_06', 'gps_lat': 41.855255, 'gps_lon': -87.639555, 'pH': 6.138785151951198, 'turbidity_NTU': 4.677289618268685, 'dissolved_oxygen_mg_L': 4.362835190369467, 'flow_rate_Lps': 22.801101726201146, 'anomaly_type': 'contamination'}"
False,none,1.0,NODE_10,"(41.886427, -87.633103)","{'timestamp': Timestamp('2026-01-02 00:45:00'), 'node_id': 'NODE_10', 'gps_lat': 41.886427, 'gps_lon': -87.633103, 'pH': 7.443189014292676, 'turbidity_NTU': 2.6648327961143745, 'dissolved_oxygen_mg_L': 7.670641770443897, 'flow_rate_Lps': 35.5846773226405, 'anomaly_type': 'none'}"
True,contamination,1.0,NODE_09,"(41.887449, -87.590227)","{'timestamp': Timestamp('2026-01-02 09:15:00'), 'node_id': 'NODE_09', 'gps_lat': 41.887449, 'gps_lon': -87.590227, 'pH': 5.187471605436375, 'turbidity_NTU': 3.2032578962619933, 'dissolved_oxygen_mg_L': 5.6175598554880875, 'flow_rate_Lps': 20.68242892209988, 'anomaly_type': 'contamination'}"
True,contamination,1.0,NODE_05,"(41.910478, -87.607628)","{'timestamp': Timestamp('2026-01-01 00:45:00'), 'node_id': 'NODE_05', 'gps_lat': 41.910478, 'gps_lon': -87.607628, 'pH': 3.6768449933847727, 'turbidity_NTU': 5.461473095749794, 'dissolved_oxygen_mg_L': 3.1571738867845838, 'flow_rate_Lps': 27.48059678976949, 'anomaly_type': 'contamination'}"
True,contamination,1.0,NODE_02,"(41.840095, -87.588121)","{'timestamp': Timestamp('2026-01-01 04:15:00'), 'node_id': 'NODE_02', 'gps_lat': 41.840095, 'gps_lon': -87.588121, 'pH': 6.284984822452388, 'turbidity_NTU': 5.70328774274241, 'dissolved_oxygen_mg_L': 5.392642081611598, 'flow_rate_Lps': 31.57153193031059, 'anomaly_type': 'contamination'}"
True,contamination,0.996,NODE_07,"(41.838375, -87.660896)","{'timestamp': Timestamp('2026-01-02 17:15:00'), 'node_id': 'NODE_07', 'gps_lat': 41.838375, 'gps_lon': -87.660896, 'pH': 8.854119540039433, 'turbidity_NTU': 3.461350424204644, 'dissolved_oxygen_mg_L': 3.2059459984436165, 'flow_rate_Lps': 25.73820729790618, 'anomaly_type': 'contamination'}"
False,none,0.998,NODE_02,"(41.840095, -87.588121)","{'timestamp': Timestamp('2026-01-01 11:00:00'), 'node_id': 'NODE_02', 'gps_lat': 41.840095, 'gps_lon': -87.588121, 'pH': 7.966762553436026, 'turbidity_NTU': 4.816347767394934, 'dissolved_oxygen_mg_L': 8.411579658746469, 'flow_rate_Lps': 33.720392542224076, 'anomaly_type': 'none'}"
False,none,1.0,NODE_03,"(41.900166, -87.639655)","{'timestamp': Timestamp('2026-01-04 07:15:00'), 'node_id': 'NODE_03', 'gps_lat': 41.900166, 'gps_lon': -87.639655, 'pH': 7.374775413656679, 'turbidity_NTU': 3.5922647284429, 'dissolved_oxygen_mg_L': 8.198515011817246, 'flow_rate_Lps': 26.496178776348795, 'anomaly_type': 'none'}"
True,contamination,1.0,NODE_06,"(41.855255, -87.639555)","{'timestamp': Timestamp('2026-01-03 18:45:00'), 'node_id': 'NODE_06', 'gps_lat': 41.855255, 'gps_lon': -87.639555, 'pH': 6.707016927616642, 'turbidity_NTU': 3.1656323908377333, 'dissolved_oxygen_mg_L': 5.448237127030054, 'flow_rate_Lps': 20.200048355000263, 'anomaly_type': 'contamination'}"
